Protein.IDs,Majority.protein.IDs,gene,rectum
ENSP00000449161.1;ENSP00000446913.1;ENSP00000377849.2;ENSP00000338927.5;ENSP00000448466.1;ENSP00000448567.1;ENSP00000447162.1;ENSP00000293385.9;ENSP00000450149.1;ENSP00000450373.1;ENSP00000449462.1;ENSP00000448264.1,ENSP00000449161.1;ENSP00000446913.1;ENSP00000377849.2;ENSP00000338927.5;ENSP00000448466.1;ENSP00000448567.1,ZNF385A; ZNF385A; ZNF385A; ZNF385A; ZNF385A; ZNF385A; ZNF385A; ZNF385A; ZNF385A; ZNF385A; ZNF385A; ZNF385A,3574800
ENSP00000376016.5;ENSP00000356042.3;ENSP00000338934.7,ENSP00000376016.5;ENSP00000356042.3;ENSP00000338934.7,EZR; EZR; EZR,436390000
ENSP00000338938.8;ENSP00000377869.4;ENSP00000353942.3;ENSP00000456323.1;ENSP00000457676.1;ENSP00000456441.1,ENSP00000338938.8;ENSP00000377869.4;ENSP00000353942.3;ENSP00000456323.1,DRC7; DRC7; DRC7; DRC7; DRC7; DRC7,850960
ENSP00000338964.5;ENSP00000394993.1;ENSP00000486190.1;ENSP00000486589.1,ENSP00000338964.5,GGT7; GGT7; GGT7; GGT7,3786000
ENSP00000338967.4;ENSP00000370112.1;ENSP00000302312.6;ENSP00000370094.1;ENSP00000370093.3;ENSP00000435767.1,ENSP00000338967.4;ENSP00000370112.1;ENSP00000302312.6;ENSP00000370094.1;ENSP00000370093.3;ENSP00000435767.1,ARHGAP6; ARHGAP6; ARHGAP6; ARHGAP6; ARHGAP6; ARHGAP6,12027000
ENSP00000467026.1;ENSP00000464848.1;ENSP00000467457.1;ENSP00000466737.1;ENSP00000404700.1;ENSP00000338988.3;ENSP00000465996.1,ENSP00000467026.1;ENSP00000464848.1;ENSP00000467457.1;ENSP00000466737.1;ENSP00000404700.1;ENSP00000338988.3;ENSP00000465996.1,PRELID3A; PRELID3A; PRELID3A; PRELID3A; PRELID3A; PRELID3A; PRELID3A,0
ENSP00000463188.1;ENSP00000338989.7;ENSP00000399918.2;ENSP00000462903.1;ENSP00000467031.1;ENSP00000463750.1;ENSP00000461386.1;ENSP00000460272.1;ENSP00000379030.4,ENSP00000463188.1;ENSP00000338989.7;ENSP00000399918.2;ENSP00000462903.1;ENSP00000467031.1,TRIM16; TRIM16; TRIM16; TRIM16; TRIM16; NA; NA; NA; TRIM16L,8174300
ENSP00000338990.4;ENSP00000450088.1;ENSP00000449935.1;ENSP00000454613.1,ENSP00000338990.4;ENSP00000450088.1;ENSP00000449935.1,ATG101; ATG101; ATG101; ATG101,7323900
ENSP00000413589.1;ENSP00000409249.1;ENSP00000403868.1;ENSP00000401546.1;ENSP00000400108.1;ENSP00000399280.1;ENSP00000383378.1;ENSP00000379672.1;ENSP00000410829.2;ENSP00000410071.2;ENSP00000406811.2;ENSP00000401317.2;ENSP00000400663.2;ENSP00000399155.2;ENSP00000373058.4;ENSP00000339001.7;ENSP00000416480.1;ENSP00000414479.1;ENSP00000407673.1;ENSP00000406981.1;ENSP00000403213.1;ENSP00000399046.1;ENSP00000395838.1;ENSP00000394841.1;ENSP00000394124.1;ENSP00000393340.1;ENSP00000392914.1;ENSP00000391515.1;ENSP00000383375.1;ENSP00000383374.1;ENSP00000379668.1;ENSP00000365578.2,ENSP00000413589.1;ENSP00000409249.1;ENSP00000403868.1;ENSP00000401546.1;ENSP00000400108.1;ENSP00000399280.1;ENSP00000383378.1;ENSP00000379672.1;ENSP00000410829.2;ENSP00000410071.2;ENSP00000406811.2;ENSP00000401317.2;ENSP00000400663.2;ENSP00000399155.2;ENSP00000373058.4;ENSP00000339001.7;ENSP00000416480.1;ENSP00000414479.1;ENSP00000407673.1;ENSP00000406981.1;ENSP00000403213.1;ENSP00000399046.1;ENSP00000395838.1;ENSP00000394841.1;ENSP00000394124.1;ENSP00000393340.1;ENSP00000392914.1;ENSP00000391515.1;ENSP00000383375.1;ENSP00000383374.1;ENSP00000379668.1;ENSP00000365578.2,TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB; TUBB,1407600000
ENSP00000376347.1;ENSP00000376345.1;ENSP00000339007.4;ENSP00000462785.1;ENSP00000464279.1;ENSP00000463525.1,ENSP00000376347.1;ENSP00000376345.1;ENSP00000339007.4;ENSP00000462785.1,GRB2; GRB2; GRB2; GRB2; GRB2; GRB2,456150000
ENSP00000489455.1;ENSP00000489353.1;ENSP00000339017.4;ENSP00000339016.2,ENSP00000489455.1;ENSP00000489353.1;ENSP00000339017.4;ENSP00000339016.2,ATAD1; ATAD1; ATAD1; ATAD1,64925000
ENSP00000449328.1;ENSP00000376299.4;ENSP00000339027.3;ENSP00000366471.4;ENSP00000449205.1;ENSP00000449854.1;ENSP00000448046.1;ENSP00000450121.1;ENSP00000450019.1;ENSP00000450222.1;ENSP00000448639.1;ENSP00000449765.1;ENSP00000448223.1;ENSP00000446777.1,ENSP00000449328.1;ENSP00000376299.4;ENSP00000339027.3;ENSP00000366471.4;ENSP00000449205.1;ENSP00000449854.1;ENSP00000448046.1;ENSP00000450121.1;ENSP00000450019.1;ENSP00000450222.1;ENSP00000448639.1,RPLP0; RPLP0; RPLP0; RPLP0; RPLP0; RPLP0; RPLP0; RPLP0; RPLP0; RPLP0; RPLP0; RPLP0; RPLP0; RPLP0,1477800000
ENSP00000455911.1;ENSP00000339030.5;ENSP00000457288.1,ENSP00000455911.1;ENSP00000339030.5;ENSP00000457288.1,ZFP91-CNTF; ZFP91; ZFP91-CNTF,7765600
