Protein.IDs,Majority.protein.IDs,gene,rectum
ENSP00000330842.3;ENSP00000016946.3;ENSP00000376962.1;ENSP00000330023.5;ENSP00000272454.6;ENSP00000430052.1;ENSP00000411548.1;ENSP00000392556.1;ENSP00000410084.1;ENSP00000387779.1;ENSP00000409424.1;ENSP00000400797.1,ENSP00000330842.3;ENSP00000016946.3;ENSP00000376962.1;ENSP00000330023.5;ENSP00000272454.6,RGPD6; RGPD5; RGPD5; RGPD6; RGPD5; RGPD8; RGPD5; RGPD5; RGPD6; RGPD6; RGPD6; RGPD5,0
ENSP00000017003.2;ENSP00000365733.3;ENSP00000426501.1;ENSP00000428350.1,ENSP00000017003.2;ENSP00000365733.3;ENSP00000426501.1,XYLT2; XYLT2; XYLT2; XYLT2,259010
ENSP00000019019.2;ENSP00000326948.2;ENSP00000380103.4,ENSP00000019019.2;ENSP00000326948.2;ENSP00000380103.4,FTSJ1; FTSJ1; FTSJ1,4037100
ENSP00000372924.3;ENSP00000019317.4;ENSP00000463693.1;ENSP00000411556.3,ENSP00000372924.3;ENSP00000019317.4,RALBP1; RALBP1; RALBP1; RALBP1,5328300
ENSP00000384830.1;ENSP00000020673.5;ENSP00000481250.1,ENSP00000384830.1;ENSP00000020673.5;ENSP00000481250.1,PSD; PSD; PSD,356390
ENSP00000380034.1;ENSP00000020945.1,ENSP00000380034.1;ENSP00000020945.1,SNAI2; SNAI2,0
ENSP00000022615.4;ENSP00000428519.1;ENSP00000428977.1;ENSP00000430908.1;ENSP00000430373.1,ENSP00000022615.4;ENSP00000428519.1,VDAC3; VDAC3; VDAC3; VDAC3; VDAC3,752270
ENSP00000489434.1;ENSP00000415441.2;ENSP00000393097.2;ENSP00000377517.4;ENSP00000023897.6;ENSP00000430435.2;ENSP00000424093.1;ENSP00000424362.1;ENSP00000486333.1;ENSP00000425526.1;ENSP00000421639.1;ENSP00000422805.1;ENSP00000430895.1;ENSP00000430507.2,ENSP00000489434.1;ENSP00000415441.2;ENSP00000393097.2;ENSP00000377517.4;ENSP00000023897.6;ENSP00000430435.2,GABRA1; GABRA1; GABRA1; GABRA1; GABRA1; GABRA1; GABRA2; GABRA2; GABRA2; GABRA2; GABRA2; GABRA2; GABRA1; GABRA1,0
ENSP00000396067.2;ENSP00000025008.5;ENSP00000429918.1;ENSP00000429879.1;ENSP00000430792.1,ENSP00000396067.2;ENSP00000025008.5,RB1CC1; RB1CC1; RB1CC1; RB1CC1; RB1CC1,3395900
ENSP00000025301.2,ENSP00000025301.2,AKAP11,2210400
ENSP00000392270.2;ENSP00000025399.6;ENSP00000445814.1;ENSP00000445693.1,ENSP00000392270.2;ENSP00000025399.6,STRAP; STRAP; STRAP; STRAP,318230000
ENSP00000439650.1;ENSP00000413753.2;ENSP00000410434.1;ENSP00000386760.2;ENSP00000326674.5;ENSP00000026218.5;ENSP00000387820.1;ENSP00000293874.2,ENSP00000439650.1;ENSP00000413753.2;ENSP00000410434.1;ENSP00000386760.2;ENSP00000326674.5;ENSP00000026218.5,PIGQ; PIGQ; PIGQ; PIGQ; PIGQ; PIGQ; PIGQ; PIGQ,3331000
ENSP00000401468.2;ENSP00000027335.3;ENSP00000392811.2;ENSP00000428189.1;ENSP00000429730.1,ENSP00000401468.2;ENSP00000027335.3;ENSP00000392811.2,CDH17; CDH17; CDH17; CDH17; CDH17,1025900000
ENSP00000029410.5;ENSP00000423868.1;ENSP00000425591.1;ENSP00000420886.1;ENSP00000423438.1,ENSP00000029410.5;ENSP00000423868.1,B4GALT7; B4GALT7; B4GALT7; B4GALT7; B4GALT7,747670
ENSP00000418914.1;ENSP00000035307.2;ENSP00000420204.1;ENSP00000419769.1,ENSP00000418914.1;ENSP00000035307.2,CHPF2; CHPF2; CHPF2; CHPF2,1312400
ENSP00000309245.4;ENSP00000035383.5;ENSP00000394867.2;ENSP00000359997.1;ENSP00000477399.1;ENSP00000476307.1;ENSP00000476660.1;ENSP00000466082.1,ENSP00000309245.4;ENSP00000035383.5,LRRC7; NA; LRRC7; LRRC7; LRRC7; LRRC7; LRRC7; LRRC7,0
ENSP00000037243.2;ENSP00000456773.1;ENSP00000455606.1,ENSP00000037243.2;ENSP00000456773.1,GABARAPL2; GABARAPL2; GABARAPL2,59158000
ENSP00000037502.5;ENSP00000478680.1,ENSP00000037502.5;ENSP00000478680.1,MYOC; NA,48857000
ENSP00000037869.3;ENSP00000397269.1;ENSP00000390840.1;ENSP00000391468.1,ENSP00000037869.3;ENSP00000397269.1,FAM136A; FAM136A; FAM136A; FAM136A,2442500000
ENSP00000038176.3;ENSP00000411012.2;ENSP00000430982.1;ENSP00000430195.1,ENSP00000038176.3;ENSP00000411012.2,NSMAF; NSMAF; NSMAF; NSMAF,2417500
ENSP00000039007.4,ENSP00000039007.4,OTC,33697000
ENSP00000039989.4;ENSP00000473320.1;ENSP00000407314.2,ENSP00000039989.4,TTC17; TTC17; TTC17,1174500
ENSP00000040584.4;ENSP00000460254.1;ENSP00000460659.1;ENSP00000239144.4;ENSP00000423861.1;ENSP00000302836.4,ENSP00000040584.4;ENSP00000460254.1;ENSP00000460659.1;ENSP00000239144.4,HOXC8; HOXB8; HOXB8; HOXB8; HOXC9; HOXC9,0
ENSP00000040663.5;ENSP00000314871.7,ENSP00000040663.5;ENSP00000314871.7,MRI1; MRI1,129510000
ENSP00000040738.5;ENSP00000420541.1,ENSP00000040738.5,BOD1L1; BOD1L1,5273100
ENSP00000040877.1,ENSP00000040877.1,TARBP1,734760
ENSP00000042381.4;ENSP00000368614.3;ENSP00000389456.2;ENSP00000400099.2;ENSP00000443568.3;ENSP00000456893.1;ENSP00000454376.1;ENSP00000455795.2;ENSP00000456924.1;ENSP00000457419.1;ENSP00000456525.2;ENSP00000457739.1;ENSP00000455200.1,ENSP00000042381.4;ENSP00000368614.3;ENSP00000389456.2;ENSP00000400099.2;ENSP00000443568.3,RIPOR1; RIPOR1; RIPOR1; RIPOR1; RIPOR1; RIPOR1; RIPOR1; RIPOR1; RIPOR1; RIPOR1; RIPOR1; RIPOR1; RIPOR1,2337200
ENSP00000043402.7;ENSP00000396872.1;ENSP00000403535.1,ENSP00000043402.7;ENSP00000396872.1;ENSP00000403535.1,RTN4R; RTN4R; RTN4R,0
ENSP00000453887.1;ENSP00000044462.7;ENSP00000453802.1;ENSP00000453829.1;ENSP00000453080.1;ENSP00000453523.1;ENSP00000453621.1;ENSP00000453145.1;ENSP00000452917.1;ENSP00000453323.1;ENSP00000453758.1,ENSP00000453887.1;ENSP00000044462.7;ENSP00000453802.1;ENSP00000453829.1;ENSP00000453080.1;ENSP00000453523.1;ENSP00000453621.1;ENSP00000453145.1,PSMA4; PSMA4; PSMA4; PSMA4; PSMA4; PSMA4; PSMA4; PSMA4; PSMA4; PSMA4; PSMA4,287520000
ENSP00000332663.2;ENSP00000045083.2,ENSP00000332663.2;ENSP00000045083.2,RIPOR3; RIPOR3,0
ENSP00000402071.1;ENSP00000046087.2;ENSP00000390054.1,ENSP00000402071.1;ENSP00000046087.2,ZPBP; ZPBP; ZPBP,0
ENSP00000046794.5;ENSP00000487460.1;ENSP00000428871.1;ENSP00000430391.1,ENSP00000046794.5;ENSP00000487460.1;ENSP00000428871.1,LCP2; LCP2; LCP2; LCP2,4085200
ENSP00000447654.1;ENSP00000376862.1;ENSP00000052754.5;ENSP00000449014.1;ENSP00000449438.1;ENSP00000399815.2;ENSP00000447674.2;ENSP00000401021.1;ENSP00000446530.1;ENSP00000449408.1;ENSP00000448853.1;ENSP00000398514.2;ENSP00000446527.1;ENSP00000448857.1;ENSP00000448057.1,ENSP00000447654.1;ENSP00000376862.1;ENSP00000052754.5;ENSP00000449014.1,DCN; DCN; DCN; DCN; DCN; DCN; DCN; DCN; DCN; DCN; DCN; DCN; DCN; DCN; DCN,6215700000
ENSP00000053468.3,ENSP00000053468.3,MRPS10,29184000
ENSP00000053867.2;ENSP00000465673.1;ENSP00000467616.1;ENSP00000467837.1;ENSP00000466611.1,ENSP00000053867.2;ENSP00000465673.1;ENSP00000467616.1,GRN; GRN; GRN; GRN; GRN,17900000
ENSP00000054666.6;ENSP00000466995.1;ENSP00000465820.1,ENSP00000054666.6;ENSP00000466995.1;ENSP00000465820.1,VAMP3; VAMP2; VAMP3,141200000
ENSP00000054950.3;ENSP00000436422.1;ENSP00000436482.1,ENSP00000054950.3;ENSP00000436422.1,RCN1; AL035078.4; AL035078.4,401640000
ENSP00000055077.3;ENSP00000275627.3;ENSP00000479768.1;ENSP00000420404.1;ENSP00000419320.1;ENSP00000420392.2;ENSP00000420513.1;ENSP00000418899.1;ENSP00000419341.1;ENSP00000419827.1;ENSP00000420731.1,ENSP00000055077.3;ENSP00000275627.3;ENSP00000479768.1;ENSP00000420404.1,RFC2; RFC2; RFC2; RFC2; RFC2; RFC2; RFC2; RFC2; RFC2; RFC2; RFC2,13213000
ENSP00000055163.7;ENSP00000344546.4;ENSP00000412835.2;ENSP00000313006.6;ENSP00000488727.1,ENSP00000055163.7;ENSP00000344546.4;ENSP00000412835.2,ARID1B; ARID1B; ARID1B; ARID1B; NA,16048000
ENSP00000055335.6;ENSP00000420687.1;ENSP00000417535.1;ENSP00000365359.1;ENSP00000418949.1,ENSP00000055335.6;ENSP00000420687.1;ENSP00000417535.1;ENSP00000365359.1,PPP1R3F; PPP1R3F; PPP1R3F; PPP1R3F; PPP1R3F,4788700
ENSP00000056217.5;ENSP00000418745.1;ENSP00000418227.1;ENSP00000417979.1,ENSP00000056217.5;ENSP00000418745.1,ARHGEF5; ARHGEF5; ARHGEF5; ARHGEF5,5891300
ENSP00000057513.3;ENSP00000427106.1;ENSP00000426613.1,ENSP00000057513.3;ENSP00000427106.1;ENSP00000426613.1,TNIP3; TNIP3; TNIP3,0
ENSP00000060969.5;ENSP00000358541.5,ENSP00000060969.5;ENSP00000358541.5,SIKE1; SIKE1,9188400
ENSP00000064724.3;ENSP00000417434.1,ENSP00000064724.3;ENSP00000417434.1,CLDN11; AC026316.4,0
ENSP00000348852.4;ENSP00000064778.4;ENSP00000390501.2,ENSP00000348852.4;ENSP00000064778.4,FAM168A; FAM168A; FAM168A,0
ENSP00000066544.3;ENSP00000434614.1,ENSP00000066544.3;ENSP00000434614.1,CDC27; CDC27,16653000
ENSP00000412053.2;ENSP00000401132.1;ENSP00000390541.1;ENSP00000072516.3;ENSP00000416296.1;ENSP00000345829.2;ENSP00000409352.1;ENSP00000387371.1;ENSP00000412008.1;ENSP00000389149.1;ENSP00000391899.1;ENSP00000414102.1,ENSP00000412053.2;ENSP00000401132.1;ENSP00000390541.1;ENSP00000072516.3;ENSP00000416296.1;ENSP00000345829.2;ENSP00000409352.1;ENSP00000387371.1,IL1RAP; IL1RAP; IL1RAP; IL1RAP; IL1RAP; IL1RAP; IL1RAP; IL1RAP; IL1RAP; IL1RAP; IL1RAP; IL1RAP,1963100
ENSP00000416507.1;ENSP00000432266.1;ENSP00000072644.1,ENSP00000416507.1;ENSP00000432266.1;ENSP00000072644.1,NA; YIPF1; YIPF1,1142100
ENSP00000480996.1;ENSP00000420512.1;ENSP00000072869.4;ENSP00000420288.1;ENSP00000417367.1,ENSP00000480996.1;ENSP00000420512.1;ENSP00000072869.4;ENSP00000420288.1;ENSP00000417367.1,NA; ADCK2; ADCK2; ADCK2; ADCK2,0
ENSP00000075120.7;ENSP00000443903.1;ENSP00000440492.1;ENSP00000407287.2;ENSP00000340450.5;ENSP00000482927.1;ENSP00000440480.1;ENSP00000379834.2;ENSP00000445929.1;ENSP00000438484.1;ENSP00000440750.1,ENSP00000075120.7;ENSP00000443903.1;ENSP00000440492.1;ENSP00000407287.2;ENSP00000340450.5;ENSP00000482927.1;ENSP00000440480.1;ENSP00000379834.2;ENSP00000445929.1,SLC2A3; SLC2A14; SLC2A14; SLC2A14; SLC2A14; SLC2A14; SLC2A14; SLC2A14; SLC2A14; SLC2A14; SLC2A3,11585000
ENSP00000075322.6;ENSP00000403315.2;ENSP00000428291.1;ENSP00000259486.6;ENSP00000429476.1;ENSP00000428304.1;ENSP00000429447.1,ENSP00000075322.6;ENSP00000403315.2;ENSP00000428291.1;ENSP00000259486.6;ENSP00000429476.1,ENPP2; ENPP2; ENPP2; ENPP2; ENPP2; ENPP2; ENPP2,3930200
ENSP00000075503.3,ENSP00000075503.3,STYK1,252400
ENSP00000078429.3;ENSP00000465935.1;ENSP00000479797.1,ENSP00000078429.3;ENSP00000465935.1,GNA11; GNA11; GNA11,216580000
ENSP00000469355.1;ENSP00000078445.1;ENSP00000472399.1;ENSP00000470119.1,ENSP00000469355.1;ENSP00000078445.1;ENSP00000472399.1;ENSP00000470119.1,CREB3L3; CREB3L3; CREB3L3; CREB3L3,0
ENSP00000363260.1;ENSP00000078527.4,ENSP00000363260.1;ENSP00000078527.4,PIGV; PIGV,0
ENSP00000081029.3;ENSP00000442137.1;ENSP00000445390.1,ENSP00000081029.3;ENSP00000442137.1;ENSP00000445390.1,MRPS35; MRPS35; MRPS35,53692000
ENSP00000083182.3,ENSP00000083182.3,APPBP2,1904700
ENSP00000447001.1;ENSP00000084795.5;ENSP00000449204.1;ENSP00000449610.1;ENSP00000446634.1;ENSP00000448899.1;ENSP00000470988.1;ENSP00000449067.1,ENSP00000447001.1;ENSP00000084795.5;ENSP00000449204.1;ENSP00000449610.1;ENSP00000446634.1;ENSP00000448899.1;ENSP00000470988.1,RPL18; RPL18; RPL18; RPL18; RPL18; RPL18; RPL18; RPL18,381330000
ENSP00000084798.3;ENSP00000469234.1,ENSP00000084798.3;ENSP00000469234.1,CA11; CA11,0
ENSP00000085079.6;ENSP00000270460.5;ENSP00000406209.1;ENSP00000422682.1,ENSP00000085079.6;ENSP00000270460.5;ENSP00000406209.1,EPN1; EPN1; EPN1; EPN3,63419000
ENSP00000085219.4;ENSP00000403822.2;ENSP00000441237.1;ENSP00000442279.1;ENSP00000270311.7;ENSP00000469984.1;ENSP00000339349.6;ENSP00000473221.1;ENSP00000482823.1;ENSP00000471399.1;ENSP00000469523.1;ENSP00000471972.1;ENSP00000469980.1;ENSP00000472664.1;ENSP00000472762.1;ENSP00000469503.1;ENSP00000470724.1;ENSP00000470193.1,ENSP00000085219.4;ENSP00000403822.2;ENSP00000441237.1;ENSP00000442279.1;ENSP00000270311.7;ENSP00000469984.1;ENSP00000339349.6,CD22; CD22; CD22; CD22; NA; CD22; CD22; CD22; CD22; CD22; CD22; CD22; CD22; CD22; CD22; CD22; CD22; CD22,43440
ENSP00000155674.5;ENSP00000337358.4;ENSP00000382745.3,ENSP00000155674.5;ENSP00000337358.4,HDHD5; HDHD5; HDHD5,66220000
ENSP00000334497.5;ENSP00000155840.2;ENSP00000488783.1;ENSP00000488381.1;ENSP00000434560.1,ENSP00000334497.5;ENSP00000155840.2,KCNQ1; KCNQ1; KCNQ1; KCNQ1; KCNQ1,0
ENSP00000390767.1;ENSP00000481335.1;ENSP00000379969.3;ENSP00000365671.3;ENSP00000156084.4;ENSP00000401629.2,ENSP00000390767.1;ENSP00000481335.1;ENSP00000379969.3;ENSP00000365671.3;ENSP00000156084.4;ENSP00000401629.2,OTUD5; OTUD5; OTUD5; OTUD5; OTUD5; OTUD5,317880
ENSP00000156109.5,ENSP00000156109.5,GPKOW,16252000
ENSP00000156471.5;ENSP00000445700.2;ENSP00000453278.1,ENSP00000156471.5,AQR; AQR; AQR,102630000
ENSP00000375678.1;ENSP00000156499.2,ENSP00000375678.1;ENSP00000156499.2,KLK14; KLK14,429570
ENSP00000156626.6;ENSP00000351991.4;ENSP00000466436.1;ENSP00000466230.1,ENSP00000156626.6,ST6GALNAC1; ST6GALNAC1; ST6GALNAC1; ST6GALNAC1,91677000
ENSP00000156825.2;ENSP00000412302.2;ENSP00000464718.1;ENSP00000466670.2;ENSP00000477547.1;ENSP00000484202.1,ENSP00000156825.2;ENSP00000412302.2;ENSP00000464718.1,MBD3; MBD3; MBD3; MBD3; MBD3; MBD3,7183000
ENSP00000157600.3;ENSP00000396515.1;ENSP00000380542.3;ENSP00000411222.2;ENSP00000405049.1,ENSP00000157600.3;ENSP00000396515.1;ENSP00000380542.3;ENSP00000411222.2,LMCD1; LMCD1; LMCD1; LMCD1; LMCD1,61360000
ENSP00000487367.1;ENSP00000157812.1;ENSP00000485851.1;ENSP00000413869.1,ENSP00000487367.1;ENSP00000157812.1;ENSP00000485851.1;ENSP00000413869.1,PSMC4; PSMC4; PSMC4; PSMC4,216790000
ENSP00000158762.3;ENSP00000458173.2;ENSP00000459422.1;ENSP00000461314.1;ENSP00000460735.1;ENSP00000460054.1;ENSP00000460803.1,ENSP00000158762.3,ACAP1; ACAP1; ACAP1; NA; NA; NA; NA,4436400
ENSP00000158771.4;ENSP00000459083.1;ENSP00000459072.1;ENSP00000458296.1;ENSP00000460671.1;ENSP00000467794.1;ENSP00000459154.1;ENSP00000458448.1,ENSP00000158771.4;ENSP00000459083.1;ENSP00000459072.1;ENSP00000458296.1,DERL2; DERL2; DERL2; DERL2; DERL2; DERL2; DERL2; DERL2,36792000
ENSP00000159087.4;ENSP00000486865.1;ENSP00000469751.1,ENSP00000159087.4,ANO8; ANO8; ANO8,520110
ENSP00000159111.3;ENSP00000480642.1;ENSP00000440495.1;ENSP00000467678.1;ENSP00000371178.3;ENSP00000468514.1,ENSP00000159111.3;ENSP00000480642.1;ENSP00000440495.1;ENSP00000467678.1,KDM4B; KDM4B; KDM4B; KDM4B; KDM4B; KDM4B,58102
ENSP00000159647.5;ENSP00000379183.2,ENSP00000159647.5;ENSP00000379183.2,PANX2; PANX2,0
ENSP00000160262.3;ENSP00000468333.1;ENSP00000467232.1;ENSP00000468230.1,ENSP00000160262.3;ENSP00000468333.1,ICAM3; ICAM3; ICAM3; ICAM3,69939000
ENSP00000160298.3,ENSP00000160298.3,CAMSAP3,3823300
ENSP00000160373.3;ENSP00000396014.1;ENSP00000405831.1;ENSP00000389576.1;ENSP00000393373.1;ENSP00000406142.1;ENSP00000395925.1,ENSP00000160373.3,CTTNBP2; CTTNBP2; CTTNBP2; CTTNBP2; CTTNBP2; CTTNBP2; CTTNBP2,275720
ENSP00000160382.5;ENSP00000420151.1,ENSP00000160382.5,ACTL6B; ACTL6B,2423400
ENSP00000160827.4;ENSP00000454957.1;ENSP00000383562.5;ENSP00000456165.2;ENSP00000457176.2;ENSP00000460077.1;ENSP00000455702.1,ENSP00000160827.4;ENSP00000454957.1;ENSP00000383562.5;ENSP00000456165.2,KIF22; KIF22; KIF22; KIF22; KIF22; KIF22; KIF22,303100
ENSP00000489190.1;ENSP00000489576.1;ENSP00000161006.3;ENSP00000489375.1;ENSP00000458506.1,ENSP00000489190.1;ENSP00000489576.1;ENSP00000161006.3;ENSP00000489375.1;ENSP00000458506.1,NA; NA; PRSS22; NA; PRSS22,1160200
ENSP00000161559.6;ENSP00000384709.3;ENSP00000244291.6;ENSP00000351165.2;ENSP00000472633.1;ENSP00000471566.1;ENSP00000384083.1;ENSP00000471918.1,ENSP00000161559.6;ENSP00000384709.3,CEACAM1; CEACAM1; CEACAM1; CEACAM1; CEACAM1; CEACAM1; CEACAM1; CEACAM1,9695100
ENSP00000161863.4;ENSP00000423101.1;ENSP00000422916.1;ENSP00000426644.1,ENSP00000161863.4;ENSP00000423101.1,YTHDC2; YTHDC2; YTHDC2; YTHDC2,8262800
ENSP00000467649.1;ENSP00000476205.1;ENSP00000467300.2;ENSP00000162044.7;ENSP00000404208.2;ENSP00000467793.1;ENSP00000465840.2;ENSP00000476977.1,ENSP00000467649.1;ENSP00000476205.1;ENSP00000467300.2;ENSP00000162044.7;ENSP00000404208.2;ENSP00000467793.1,TMEM161A; TMEM161A; TMEM161A; TMEM161A; TMEM161A; TMEM161A; TMEM161A; TMEM161A,3155900
ENSP00000440415.2;ENSP00000443841.2;ENSP00000162330.5;ENSP00000392708.3;ENSP00000377074.2;ENSP00000391669.3;ENSP00000440370.2;ENSP00000377072.6;ENSP00000454702.1;ENSP00000458088.1;ENSP00000456929.1;ENSP00000455810.1;ENSP00000456625.1,ENSP00000440415.2;ENSP00000443841.2;ENSP00000162330.5;ENSP00000392708.3;ENSP00000377074.2;ENSP00000391669.3;ENSP00000440370.2;ENSP00000377072.6,BCAR1; BCAR1; BCAR1; BCAR1; BCAR1; BCAR1; BCAR1; BCAR1; BCAR1; BCAR1; BCAR1; BCAR1; BCAR1,6706700
ENSP00000403411.2;ENSP00000162391.3,ENSP00000403411.2;ENSP00000162391.3,FOXJ2; FOXJ2,0
ENSP00000162749.2;ENSP00000438343.1;ENSP00000442919.1;ENSP00000442059.1,ENSP00000162749.2;ENSP00000438343.1,TNFRSF1A; TNFRSF1A; TNFRSF1A; TNFRSF1A,386150
ENSP00000163416.2;ENSP00000452601.1,ENSP00000163416.2,GOLGA5; GOLGA5,19272000
ENSP00000164133.2;ENSP00000437088.1,ENSP00000164133.2,PPP2R5B; PPP2R5B,10426000
ENSP00000164139.3;ENSP00000366650.3,ENSP00000164139.3;ENSP00000366650.3,PYGM; PYGM,155240000
ENSP00000164227.5;ENSP00000393731.1,ENSP00000164227.5;ENSP00000393731.1,BCL3; BCL3,1203000
ENSP00000367337.1;ENSP00000340824.1;ENSP00000164247.1;ENSP00000473602.1;ENSP00000374283.4;ENSP00000367351.1;ENSP00000398395.1,ENSP00000367337.1;ENSP00000340824.1;ENSP00000164247.1;ENSP00000473602.1;ENSP00000374283.4,KCNAB2; KCNAB2; KCNAB2; KCNAB2; KCNAB2; KCNAB2; KCNAB2,0
ENSP00000164305.5;ENSP00000438963.2;ENSP00000456531.1,ENSP00000164305.5;ENSP00000438963.2,PIGB; PIGB; PIGB,4346400
ENSP00000164640.4;ENSP00000377355.3;ENSP00000442033.1;ENSP00000476940.1,ENSP00000164640.4;ENSP00000377355.3;ENSP00000442033.1,PDZD4; PDZD4; PDZD4; PDZD4,1836200
ENSP00000437567.1;ENSP00000392197.1;ENSP00000165698.5;ENSP00000438346.1;ENSP00000400607.1;ENSP00000475269.1,ENSP00000437567.1;ENSP00000392197.1;ENSP00000165698.5;ENSP00000438346.1;ENSP00000400607.1;ENSP00000475269.1,REEP1; REEP1; REEP1; REEP1; NA; REEP1,13105000
ENSP00000166139.3;ENSP00000484376.1;ENSP00000484412.1;ENSP00000483064.1;ENSP00000466383.2,ENSP00000166139.3,FSTL3; FSTL3; FSTL3; FSTL3; FSTL3,0
ENSP00000166244.3;ENSP00000440274.1;ENSP00000363775.4,ENSP00000166244.3,EPHA8; NA; EPHA8,0
ENSP00000166345.3,ENSP00000166345.3,TRIP13,1734000
ENSP00000362466.1;ENSP00000168148.3,ENSP00000362466.1;ENSP00000168148.3,SPP2; SPP2,7356000
ENSP00000168216.6;ENSP00000364453.5;ENSP00000364447.4,ENSP00000168216.6;ENSP00000364453.5;ENSP00000364447.4,HSD17B10; HSD17B10; HSD17B10,1.783e+09
ENSP00000389337.1;ENSP00000169298.3;ENSP00000411518.1;ENSP00000415886.1;ENSP00000390793.1;ENSP00000407631.1;ENSP00000414504.1;ENSP00000388789.1;ENSP00000416163.1;ENSP00000399525.1;ENSP00000388928.1,ENSP00000389337.1;ENSP00000169298.3,ST6GAL1; ST6GAL1; ST6GAL1; ST6GAL1; ST6GAL1; ST6GAL1; ST6GAL1; ST6GAL1; ST6GAL1; ST6GAL1; ST6GAL1,11510000
ENSP00000169551.6;ENSP00000464228.1;ENSP00000462028.1,ENSP00000169551.6,TIMM21; TIMM21; TIMM21,5098100
ENSP00000170150.3,ENSP00000170150.3,BPIFB2,0
ENSP00000170168.3;ENSP00000468713.1;ENSP00000480368.1,ENSP00000170168.3,REXO1; REXO1; NA,41115
ENSP00000397983.1;ENSP00000170447.7;ENSP00000396340.1,ENSP00000397983.1;ENSP00000170447.7;ENSP00000396340.1,MKRN2; MKRN2; MKRN2,19564000
ENSP00000170564.1;ENSP00000467632.1,ENSP00000170564.1,GPATCH1; GPATCH1,43697
ENSP00000377245.1;ENSP00000171111.4;ENSP00000468671.1;ENSP00000465024.1;ENSP00000465126.2;ENSP00000467601.1,ENSP00000377245.1;ENSP00000171111.4,KEAP1; KEAP1; KEAP1; KEAP1; KEAP1; KEAP1,7425000
ENSP00000171887.4,ENSP00000171887.4,TNS1,1086100000
ENSP00000172229.3,ENSP00000172229.3,NGFR,26378000
ENSP00000173229.2,ENSP00000173229.2,NTN1,2754700
ENSP00000173527.5;ENSP00000421273.1,ENSP00000173527.5,ISOC1; ISOC1,384630000
ENSP00000174618.4;ENSP00000476269.1,ENSP00000174618.4,MNT; MNT,2914600
ENSP00000428787.1;ENSP00000380132.3;ENSP00000174653.3;ENSP00000429435.1;ENSP00000431918.1;ENSP00000428279.1;ENSP00000430200.1;ENSP00000429515.1,ENSP00000428787.1;ENSP00000380132.3;ENSP00000174653.3;ENSP00000429435.1;ENSP00000431918.1,AP3M2; AP3M2; AP3M2; AP3M2; AP3M2; AP3M2; AP3M2; AP3M2,12312000
ENSP00000414901.1;ENSP00000406994.1;ENSP00000377846.3;ENSP00000377845.3;ENSP00000175506.4;ENSP00000414379.1;ENSP00000408472.1;ENSP00000401651.1;ENSP00000400422.1;ENSP00000394242.1;ENSP00000408797.1,ENSP00000414901.1;ENSP00000406994.1;ENSP00000377846.3;ENSP00000377845.3;ENSP00000175506.4;ENSP00000414379.1;ENSP00000408472.1;ENSP00000401651.1,ASNS; ASNS; ASNS; ASNS; ASNS; ASNS; ASNS; ASNS; ASNS; ASNS; ASNS,20100000
ENSP00000175756.5;ENSP00000387031.2;ENSP00000310092.5,ENSP00000175756.5;ENSP00000387031.2;ENSP00000310092.5,PTPN18; PTPN18; PTPN18,7322000
ENSP00000483559.1;ENSP00000176195.3,ENSP00000483559.1;ENSP00000176195.3,SCT; SCT,0
ENSP00000463637.1;ENSP00000378942.2;ENSP00000176643.6;ENSP00000461916.1;ENSP00000345774.4;ENSP00000486085.1;ENSP00000464153.1;ENSP00000458942.1;ENSP00000464453.1;ENSP00000463128.1;ENSP00000462964.1;ENSP00000395845.2;ENSP00000486283.1;ENSP00000458397.1;ENSP00000463924.1;ENSP00000461235.2;ENSP00000466814.1,ENSP00000463637.1;ENSP00000378942.2;ENSP00000176643.6;ENSP00000461916.1;ENSP00000345774.4;ENSP00000486085.1;ENSP00000464153.1;ENSP00000458942.1,ALDH3A2; ALDH3A2; ALDH3A2; ALDH3A2; ALDH3A2; ALDH3A2; ALDH3A2; ALDH3A2; ALDH3A2; ALDH3A2; ALDH3A2; NA; ALDH3A2; ALDH3A2; ALDH3A2; ALDH3A2; ALDH3A2,156850000
ENSP00000176763.5,ENSP00000176763.5,STK10,16878000
ENSP00000398048.1;ENSP00000177648.9;ENSP00000426044.2;ENSP00000425559.1;ENSP00000425273.1;ENSP00000424492.1;ENSP00000423978.1,ENSP00000398048.1;ENSP00000177648.9;ENSP00000426044.2,ALPK1; ALPK1; ALPK1; ALPK1; ALPK1; ALPK1; ALPK1,186430
ENSP00000177694.1,ENSP00000177694.1,TBX21,0
ENSP00000380531.2;ENSP00000177742.3;ENSP00000479049.1,ENSP00000380531.2;ENSP00000177742.3;ENSP00000479049.1,MRPS34; MRPS34; NA,34721000
ENSP00000343088.3;ENSP00000178638.3;ENSP00000403028.2,ENSP00000343088.3;ENSP00000178638.3;ENSP00000403028.2,CA12; CA12; CA12,267980000
ENSP00000178640.5;ENSP00000378859.2,ENSP00000178640.5;ENSP00000378859.2,MAP2K5; MAP2K5,4032500
ENSP00000179259.4;ENSP00000488928.1,ENSP00000179259.4;ENSP00000488928.1,TIGAR; TIGAR,31679000
ENSP00000180173.4;ENSP00000431000.1,ENSP00000180173.4,MTMR7; MTMR7,183940
ENSP00000181383.4;ENSP00000400714.3,ENSP00000181383.4;ENSP00000400714.3,CPB2; CPB2,40707000
